Gene	Protein	Locus	GeneName
NC_001133.9	NP_009332.1	YAL068C	PAU8
NC_001133.9	NP_878038.1	YAL067W-A	NP_878038.1
NC_001133.9	NP_009333.1	YAL067C	SEO1
NC_001133.9	NP_009335.1	YAL065C	NP_009335.1
NC_001133.9	NP_009336.1	YAL064W-B	NP_009336.1
NC_001133.9	NP_058136.1	YAL064C-A	TDA8
NC_001133.9	NP_009337.2	YAL064W	NP_009337.2
NC_001133.9	NP_878039.1	YAL063C-A	NP_878039.1
NC_001133.9	NP_009338.1	YAL063C	FLO9
NC_001133.9	NP_009339.1	YAL062W	GDH3
NC_001133.9	NP_009340.1	YAL061W	BDH2
NC_001133.9	NP_009341.2	YAL060W	BDH1
NC_001133.9	NP_009342.2	YAL059W	ECM1
NC_001133.9	NP_009343.1	YAL058W	CNE1
NC_001133.9	NP_009345.3	YAL056W	GPB2
NC_001133.9	NP_009346.1	YAL055W	PEX22
NC_001133.9	NP_009347.1	YAL054C	ACS1
NC_001133.9	NP_009348.2	YAL053W	FLC2
NC_001133.9	NP_009349.3	YAL051W	OAF1
NC_001133.9	NP_009350.1	YAL049C	AIM2
NC_001133.9	NP_009351.1	YAL048C	GEM1
NC_001133.9	NP_009352.2	YAL047C	SPC72
NC_001133.9	NP_009353.1	YAL046C	BOL3
NC_001133.9	NP_075206.1	YAL044W-A	BOL1
NC_001133.9	NP_009355.3	YAL044C	GCV3
NC_001133.9	NP_009356.1	YAL043C	PTA1
NC_001133.9	NP_009358.1	YAL042W	ERV46
NC_001133.9	NP_009359.1	YAL041W	CDC24
NC_001133.9	NP_009360.1	YAL040C	CLN3
NC_001133.9	NP_009361.1	YAL039C	CYC3
NC_001133.9	NP_009362.1	YAL038W	CDC19
NC_001133.9	NP_878040.1	YAL037C-A	NP_878040.1
NC_001133.9	NP_009363.1	YAL037W	NP_009363.1
NC_001133.9	NP_009364.1	YAL036C	RBG1
NC_001133.9	NP_009365.1	YAL035W	FUN12
NC_001133.9	NP_009367.1	YAL034W-A	MTW1
NC_001133.9	NP_009368.2	YAL034C	FUN19
NC_001133.9	NP_009369.1	YAL033W	POP5
NC_001133.9	NP_009370.1	YAL032C	PRP45
NC_001133.9	NP_009371.1	YAL031C	GIP4
NC_001133.9	NP_009372.1	YAL030W	SNC1
NC_001133.9	NP_009373.1	YAL029C	MYO4
NC_001133.9	NP_009374.1	YAL028W	FRT2
NC_001133.9	NP_009375.1	YAL027W	SAW1
NC_001133.9	NP_009376.2	YAL026C	DRS2
NC_001133.9	NP_009377.2	YAL025C	MAK16
NC_001133.9	NP_009378.1	YAL024C	LTE1
NC_001133.9	NP_009379.2	YAL023C	PMT2
NC_001133.9	NP_009380.1	YAL022C	FUN26
NC_001133.9	NP_009381.1	YAL021C	CCR4
