scerevisiae	sbayanus
NP_001018029.1	Sbay_4.486
NP_001018030.1	Sbay_3.150
NP_001018031.2	Sbay_3.154
NP_001018033.3	Sbay_7.452
NP_001027534.1	Sbay_9.29
NP_001032571.3	Sbay_4.456
NP_001032572.1	Sbay_16.475
NP_001032573.1	Sbay_3.164
NP_001032574.1	Sbay_16.356
NP_001032575.1	Sbay_2.280
NP_001032576.1	Sbay_2.547
NP_001032577.1	Sbay_2.637
NP_001032578.1	Sbay_7.69
NP_001032579.1	Sbay_9.93
NP_001032580.1	Sbay_11.159
NP_001032582.1	Sbay_10.244
NP_001035220.1	Sbay_2.165
NP_001091638.1	Sbay_16.333
NP_001106172.4	Sbay_7.233
NP_001106949.1	Sbay_16.502
NP_001257667.1	Sbay_15.373
NP_001257668.1	Sbay_4.293
NP_001257669.1	Sbay_4.374
NP_001257672.1	Sbay_8.2
NP_001257673.1	Sbay_5.197
NP_001257683.1	Sbay_12.240
NP_001297596.1	Sbay_3.80
NP_001333724.1	Sbay_2.156
NP_001335739.1	Sbay_15.289
NP_001335746.1	Sbay_4.464
NP_001335749.1	Sbay_3.26
NP_001335751.1	Sbay_3.56
NP_001335755.1	Sbay_2.180
NP_001335757.1	Sbay_2.320
NP_001335764.1	Sbay_2.521
NP_001335765.1	Sbay_5.60
NP_001335767.1	Sbay_5.78
NP_001335771.1	Sbay_4.325
NP_001335773.1	Sbay_6.45
NP_001335775.1	Sbay_7.115
NP_001335777.1	Sbay_7.181
NP_001335779.1	Sbay_7.274
NP_001335788.1	Sbay_12.219
NP_001335791.1	Sbay_11.265
NP_001335792.1	Sbay_11.308
NP_001335794.1	Sbay_10.201
NP_001335820.1	Sbay_8.432
NP_001335823.1	Sbay_16.251
NP_001335824.1	Sbay_16.336
NP_001335825.1	Sbay_16.381
NP_001335826.1	Sbay_16.392
NP_009307.2	Sbay_87.1
NP_009311.2	Sbay_49.3
NP_009315.1	Sbay_98.1
NP_009333.1	Sbay_12.245
NP_009336.1	Sbay_1.113
NP_009339.1	Sbay_1.5
NP_009340.1	Sbay_1.6
NP_009341.2	Sbay_1.7
NP_009342.2	Sbay_1.8
NP_009343.1	Sbay_1.9
NP_009345.3	Sbay_1.10
NP_009346.1	Sbay_1.11
NP_009347.1	Sbay_1.12
NP_009348.2	Sbay_1.13
NP_009349.3	Sbay_1.14
NP_009350.1	Sbay_1.15
NP_009351.1	Sbay_1.16
NP_009352.2	Sbay_1.17
NP_009353.1	Sbay_1.18
NP_009355.3	Sbay_1.20
NP_009356.1	Sbay_1.21
NP_009358.1	Sbay_1.22
NP_009359.1	Sbay_1.24
NP_009360.1	Sbay_1.25
NP_009361.1	Sbay_1.26
NP_009362.1	Sbay_1.27
NP_009363.1	Sbay_1.28
NP_009364.1	Sbay_1.29
NP_009365.1	Sbay_1.30
NP_009367.1	Sbay_1.31
NP_009368.2	Sbay_1.32
NP_009369.1	Sbay_1.33
NP_009370.1	Sbay_1.34
NP_009371.1	Sbay_1.35
NP_009372.1	Sbay_1.36
NP_009373.1	Sbay_1.37
NP_009374.1	Sbay_1.38
NP_009375.1	Sbay_1.39
NP_009376.2	Sbay_1.40
NP_009377.2	Sbay_1.41
NP_009378.1	Sbay_1.42
NP_009379.2	Sbay_1.43
NP_009380.1	Sbay_1.44
NP_009381.1	Sbay_1.45
NP_009382.2	Sbay_1.46
NP_009383.1	Sbay_1.48
NP_009384.1	Sbay_1.49
NP_009385.2	Sbay_1.50
NP_009386.1	Sbay_1.51
NP_009387.1	Sbay_1.52
NP_009388.2	Sbay_1.53
NP_009389.3	Sbay_1.54
NP_009390.1	Sbay_1.56
NP_009391.2	Sbay_1.57
NP_009392.2	Sbay_1.58
NP_009393.1	Sbay_1.59
NP_009394.1	Sbay_1.60
NP_009395.1	Sbay_1.61
NP_009398.1	Sbay_1.68
NP_009399.2	Sbay_1.69
NP_009400.1	Sbay_1.70
NP_009401.1	Sbay_1.72
NP_009402.1	Sbay_1.73
NP_009403.1	Sbay_1.74
NP_009404.1	Sbay_1.75
NP_009405.1	Sbay_1.76
NP_009408.3	Sbay_1.82
NP_009409.1	Sbay_1.83
NP_009410.1	Sbay_1.84
NP_009411.2	Sbay_1.86
NP_009420.1	Sbay_4.230
NP_009421.3	Sbay_1.110
NP_009424.1	Sbay_1.111
NP_009443.1	Sbay_2.9
NP_009444.2	Sbay_2.10
NP_009445.2	Sbay_2.12
NP_009446.2	Sbay_2.13
NP_009447.1	Sbay_2.14
NP_009448.1	Sbay_2.15
NP_009449.1	Sbay_2.16
NP_009450.1	Sbay_3.99
NP_009453.2	Sbay_2.18
NP_009454.1	Sbay_2.20
NP_009455.3	Sbay_2.21
NP_009457.1	Sbay_2.22
NP_009459.1	Sbay_2.23
NP_009460.1	Sbay_2.24
NP_009461.2	Sbay_2.25
NP_009462.2	Sbay_2.26
NP_009463.1	Sbay_2.27
NP_009464.2	Sbay_2.28
NP_009465.2	Sbay_2.29
NP_009467.1	Sbay_2.31
NP_009468.1	Sbay_2.33
NP_009469.2	Sbay_2.34
NP_009471.1	Sbay_2.36
NP_009472.1	Sbay_2.37
NP_009473.2	Sbay_2.38
NP_009474.1	Sbay_2.39
NP_009475.1	Sbay_2.42
NP_009477.1	Sbay_2.43
NP_009478.1	Sbay_2.44
NP_009479.1	Sbay_2.45
NP_009484.2	Sbay_2.48
NP_009485.3	Sbay_2.49
NP_009486.3	Sbay_2.50
NP_009487.2	Sbay_2.51
NP_009489.1	Sbay_2.53
NP_009490.1	Sbay_2.54
NP_009492.1	Sbay_2.55
NP_009493.1	Sbay_2.56
NP_009494.1	Sbay_2.58
NP_009495.1	Sbay_2.59
NP_009496.2	Sbay_2.60
NP_009497.2	Sbay_2.61
NP_009498.1	Sbay_2.62
NP_009499.1	Sbay_2.63
NP_009501.1	Sbay_2.64
NP_009502.1	Sbay_2.67
NP_009503.1	Sbay_2.68
NP_009504.1	Sbay_2.69
NP_009506.1	Sbay_2.70
NP_009507.1	Sbay_2.71
NP_009508.1	Sbay_2.72
NP_009509.1	Sbay_2.73
NP_009510.1	Sbay_2.74
NP_009511.1	Sbay_2.76
NP_009512.1	Sbay_2.77
NP_009513.1	Sbay_2.78
NP_009514.1	Sbay_2.80
NP_009515.1	Sbay_2.81
NP_009516.1	Sbay_2.82
NP_009517.1	Sbay_2.83
NP_009518.1	Sbay_2.84
NP_009519.1	Sbay_2.85
NP_009520.1	Sbay_2.86
NP_009521.1	Sbay_2.87
NP_009522.1	Sbay_2.88
NP_009523.1	Sbay_2.89
NP_009524.1	Sbay_2.91
NP_009525.1	Sbay_2.92
NP_009527.1	Sbay_2.95
NP_009528.1	Sbay_2.96
NP_009529.1	Sbay_2.97
NP_009530.1	Sbay_2.98
NP_009531.1	Sbay_2.99
NP_009532.1	Sbay_2.100
NP_009533.1	Sbay_2.102
NP_009534.1	Sbay_25.1
NP_009535.1	Sbay_40.2
NP_009536.1	Sbay_31.1
NP_009537.1	Sbay_2.105
NP_009538.1	Sbay_2.107
NP_009539.2	Sbay_2.110
NP_009540.2	Sbay_2.111
NP_009542.1	Sbay_2.114
NP_009543.1	Sbay_2.115
NP_009544.1	Sbay_2.116
NP_009545.2	Sbay_2.117
NP_009546.1	Sbay_2.118
NP_009547.2	Sbay_2.120
NP_009548.1	Sbay_2.121
NP_009551.2	Sbay_2.123
NP_009553.1	Sbay_2.126
NP_009554.1	Sbay_2.127
NP_009555.1	Sbay_2.130
NP_009556.1	Sbay_2.131
NP_009557.1	Sbay_2.132
NP_009558.2	Sbay_2.133
NP_009559.1	Sbay_2.134
NP_009560.1	Sbay_2.135
NP_009561.2	Sbay_2.136
NP_009562.1	Sbay_8.420
NP_009565.1	Sbay_2.139
NP_009570.1	Sbay_2.141
NP_009571.1	Sbay_2.142
NP_009572.1	Sbay_2.144
NP_009573.1	Sbay_2.146
NP_009574.1	Sbay_2.147
NP_009575.1	Sbay_2.148
NP_009576.1	Sbay_2.149
NP_009577.1	Sbay_2.150
NP_009578.1	Sbay_2.151
NP_009579.1	Sbay_2.152
NP_009580.1	Sbay_2.153
NP_009581.1	Sbay_2.154
NP_009582.1	Sbay_2.155
NP_009584.1	Sbay_2.157
NP_009585.1	Sbay_2.158
NP_009586.1	Sbay_2.159
NP_009587.1	Sbay_2.160
NP_009589.1	Sbay_4.265
NP_009590.1	Sbay_4.266
NP_009591.1	Sbay_4.267
NP_009592.1	Sbay_4.268
NP_009593.1	Sbay_4.269
NP_009594.1	Sbay_4.270
NP_009595.1	Sbay_4.271
NP_009596.1	Sbay_4.272
NP_009597.2	Sbay_4.273
NP_009598.1	Sbay_4.274
NP_009599.2	Sbay_4.275
NP_009600.2	Sbay_4.276
NP_009601.2	Sbay_4.278
NP_009602.1	Sbay_4.279
NP_009603.1	Sbay_4.280
NP_009605.1	Sbay_4.282
NP_009606.1	Sbay_4.283
NP_009608.1	Sbay_4.284
NP_009609.1	Sbay_4.285
NP_009610.1	Sbay_4.286
NP_009611.1	Sbay_4.287
NP_009612.1	Sbay_4.289
NP_009613.1	Sbay_4.294
NP_009614.2	Sbay_4.295
NP_009615.1	Sbay_4.297
NP_009616.1	Sbay_4.298
NP_009617.3	Sbay_4.301
NP_009618.2	Sbay_4.302
NP_009619.1	Sbay_4.303
NP_009621.3	Sbay_4.304
NP_009622.1	Sbay_4.305
NP_009623.1	Sbay_4.306
NP_009624.4	Sbay_4.307
NP_009625.1	Sbay_4.308
NP_009626.1	Sbay_4.309
NP_009627.3	Sbay_4.310
NP_009628.1	Sbay_4.311
NP_009629.6	Sbay_4.312
NP_009630.3	Sbay_4.313
NP_009632.2	Sbay_4.314
NP_009633.3	Sbay_4.316
NP_009634.2	Sbay_4.317
NP_009635.1	Sbay_4.319
NP_009636.3	Sbay_4.320
NP_009637.1	Sbay_4.321
NP_009638.1	Sbay_4.326
NP_009639.3	Sbay_4.327
NP_009640.1	Sbay_4.328
NP_009641.1	Sbay_2.93
NP_009642.3	Sbay_4.330
NP_009643.2	Sbay_4.333
NP_009644.3	Sbay_4.334
NP_009645.1	Sbay_4.335
NP_009647.2	Sbay_4.336
NP_009648.4	Sbay_4.337
NP_009649.1	Sbay_4.338
NP_009650.1	Sbay_4.339
NP_009651.3	Sbay_4.340
NP_009652.2	Sbay_4.341
NP_009653.2	Sbay_4.342
NP_009654.3	Sbay_4.343
NP_009655.2	Sbay_4.344
NP_009656.2	Sbay_4.345
NP_009659.3	Sbay_4.346
NP_009660.1	Sbay_4.347
NP_009661.1	Sbay_4.348
NP_009662.3	Sbay_4.350
NP_009663.1	Sbay_4.351
NP_009664.1	Sbay_4.352
NP_009665.3	Sbay_4.354
NP_009666.3	Sbay_4.355
NP_009667.1	Sbay_4.356
NP_009668.3	Sbay_4.357
NP_009669.1	Sbay_4.359
NP_009670.3	Sbay_4.361
NP_009672.1	Sbay_4.362
NP_009673.1	Sbay_4.363
NP_009675.3	Sbay_4.364
NP_009677.1	Sbay_4.366
NP_009678.3	Sbay_4.367
NP_009679.2	Sbay_4.368
NP_009680.2	Sbay_4.369
NP_009681.3	Sbay_4.370
NP_009683.1	Sbay_4.371
NP_009684.1	Sbay_4.372
NP_009685.3	Sbay_4.375
NP_009686.1	Sbay_4.376
NP_009687.1	Sbay_4.377
NP_009688.3	Sbay_4.378
NP_009689.3	Sbay_4.379
NP_009690.1	Sbay_4.381
NP_009691.1	Sbay_4.382
NP_009693.3	Sbay_4.383
NP_009694.3	Sbay_4.384
NP_009695.2	Sbay_4.386
NP_009696.2	Sbay_4.387
NP_009697.3	Sbay_4.388
NP_009698.3	Sbay_4.389
NP_009699.2	Sbay_4.390
NP_009700.1	Sbay_4.392
NP_009701.3	Sbay_4.393
NP_009703.3	Sbay_4.394
NP_009704.1	Sbay_4.395
NP_009705.1	Sbay_4.396
NP_009706.3	Sbay_4.397
NP_009707.3	Sbay_4.398
NP_009708.1	Sbay_4.400
NP_009709.1	Sbay_4.401
NP_009710.3	Sbay_4.402
NP_009711.3	Sbay_4.403
NP_009712.1	Sbay_4.404
NP_009713.1	Sbay_4.405
NP_009714.3	Sbay_4.407
NP_009715.4	Sbay_4.408
NP_009716.1	Sbay_4.409
NP_009717.1	Sbay_4.410
NP_009718.3	Sbay_4.411
NP_009719.3	Sbay_4.412
NP_009720.1	Sbay_4.413
NP_009721.1	Sbay_4.414
NP_009722.3	Sbay_4.415
NP_009723.3	Sbay_4.416
NP_009724.1	Sbay_4.418
NP_009725.1	Sbay_4.419
NP_009726.3	Sbay_4.420
NP_009727.3	Sbay_4.421
NP_009728.1	Sbay_4.422
NP_009729.1	Sbay_4.423
NP_009730.3	Sbay_4.424
NP_009731.4	Sbay_4.425
NP_009732.1	Sbay_4.426
NP_009734.1	Sbay_4.427
NP_009735.3	Sbay_4.428
NP_009736.3	Sbay_4.429
NP_009738.1	Sbay_4.430
NP_009739.1	Sbay_4.431
NP_009741.3	Sbay_4.433
NP_009742.1	Sbay_4.434
NP_009743.3	Sbay_4.435
NP_009744.3	Sbay_4.436
NP_009745.2	Sbay_4.437
NP_009746.1	Sbay_4.439
NP_009747.3	Sbay_4.440
NP_009750.1	Sbay_16.233
NP_009751.1	Sbay_4.446
NP_009752.3	Sbay_4.447
NP_009753.3	Sbay_4.448
NP_009754.1	Sbay_4.449
NP_009755.1	Sbay_4.450
NP_009756.1	Sbay_4.451
NP_009757.1	Sbay_4.452
NP_009758.3	Sbay_4.453
NP_009759.3	Sbay_4.454
NP_009760.1	Sbay_4.455
NP_009761.4	Sbay_4.457
NP_009762.2	Sbay_4.458
NP_009763.2	Sbay_4.459
NP_009764.3	Sbay_4.460
NP_009766.4	Sbay_4.461
NP_009767.1	Sbay_4.462
NP_009769.1	Sbay_4.468
NP_009770.3	Sbay_4.469
NP_009771.3	Sbay_4.470
NP_009772.1	Sbay_4.471
NP_009773.1	Sbay_4.472
NP_009774.4	Sbay_4.473
NP_009775.3	Sbay_4.474
NP_009776.1	Sbay_4.475
NP_009777.1	Sbay_4.476
NP_009779.3	Sbay_4.477
NP_009780.1	Sbay_4.478
NP_009781.3	Sbay_4.479
NP_009782.3	Sbay_4.480
NP_009784.1	Sbay_4.481
NP_009786.1	Sbay_4.482
NP_009787.3	Sbay_4.483
NP_009788.3	Sbay_4.484
NP_009789.1	Sbay_4.485
NP_009790.3	Sbay_4.487
NP_009792.3	Sbay_4.489
NP_009793.1	Sbay_4.491
NP_009794.3	Sbay_4.492
NP_009795.3	Sbay_4.493
NP_009796.1	Sbay_4.494
NP_009797.1	Sbay_4.496
NP_009798.3	Sbay_4.498
NP_009799.3	Sbay_4.499
NP_009800.1	Sbay_4.501
NP_009801.1	Sbay_4.502
NP_009802.3	Sbay_4.503
NP_009803.3	Sbay_4.504
NP_009804.1	Sbay_4.505
NP_009805.1	Sbay_4.507
NP_009806.3	Sbay_4.508
NP_009807.3	Sbay_4.509
NP_009808.1	Sbay_4.510
NP_009809.1	Sbay_4.511
NP_009810.3	Sbay_4.512
NP_009811.3	Sbay_4.513
NP_009812.1	Sbay_4.514
NP_009813.1	Sbay_4.515
NP_009814.3	Sbay_4.516
NP_009815.1	Sbay_4.518
NP_009816.1	Sbay_4.519
NP_009817.3	Sbay_4.520
NP_009818.3	Sbay_4.521
NP_009819.1	Sbay_4.522
NP_009820.1	Sbay_4.523
NP_009821.3	Sbay_4.524
NP_009822.4	Sbay_4.525
NP_009823.2	Sbay_4.526
NP_009824.2	Sbay_4.527
NP_009825.4	Sbay_4.528
NP_009827.3	Sbay_4.529
NP_009828.2	Sbay_4.530
NP_009829.2	Sbay_4.531
NP_009830.3	Sbay_4.532
NP_009831.3	Sbay_4.533
NP_009832.1	Sbay_4.534
NP_009833.1	Sbay_4.535
NP_009834.4	Sbay_4.536
NP_009835.3	Sbay_4.537
NP_009837.1	Sbay_4.538
NP_009838.1	Sbay_4.539
NP_009839.4	Sbay_4.540
NP_009840.3	Sbay_4.541
NP_009841.1	Sbay_4.542
NP_009842.1	Sbay_4.543
NP_009843.3	Sbay_4.544
NP_009844.4	Sbay_4.545
NP_009845.2	Sbay_4.546
NP_009846.1	Sbay_4.547
NP_009847.4	Sbay_4.548
NP_009848.4	Sbay_4.549
NP_009849.1	Sbay_4.550
NP_009850.1	Sbay_4.551
NP_009852.3	Sbay_4.553
NP_009853.3	Sbay_4.554
NP_009855.1	Sbay_4.555
NP_009856.3	Sbay_5.324
NP_009857.1	Sbay_16.22
NP_009858.3	Sbay_16.21
NP_009868.3	Sbay_3.147
NP_009869.3	Sbay_3.148
NP_009870.1	Sbay_3.151
NP_009871.2	Sbay_3.152
NP_009872.1	Sbay_3.153
NP_009874.1	Sbay_3.156
NP_009875.1	Sbay_3.157
NP_009876.1	Sbay_3.158
NP_009877.1	Sbay_3.159
NP_009878.1	Sbay_3.160
NP_009879.2	Sbay_3.161
NP_009880.2	Sbay_3.162
NP_009881.2	Sbay_3.163
NP_009882.1	Sbay_3.165
NP_009883.1	Sbay_3.166
NP_009884.1	Sbay_3.167
NP_009886.1	Sbay_3.168
NP_009887.1	Sbay_3.170
NP_009890.1	Sbay_3.172
NP_009891.1	Sbay_3.173
NP_009892.1	Sbay_3.174
NP_009893.2	Sbay_3.176
NP_009894.1	Sbay_3.177
NP_009895.1	Sbay_3.178
NP_009896.2	Sbay_3.179
NP_009897.1	Sbay_3.180
NP_009898.1	Sbay_3.181
NP_009899.1	Sbay_3.182
NP_009900.2	Sbay_3.183
NP_009901.1	Sbay_3.184
NP_009902.2	Sbay_3.185
NP_009903.2	Sbay_3.186
NP_009905.3	Sbay_3.189
NP_009907.2	Sbay_3.190
NP_009911.2	Sbay_3.3
NP_009912.2	Sbay_3.4
NP_009913.2	Sbay_3.5
NP_009914.2	Sbay_3.6
NP_009916.1	Sbay_3.8
NP_009917.1	Sbay_3.9
NP_009918.1	Sbay_3.10
NP_009919.3	Sbay_3.11
NP_009922.2	Sbay_3.14
NP_009923.2	Sbay_3.15
NP_009924.4	Sbay_3.16
NP_009925.1	Sbay_3.17
NP_009928.1	Sbay_3.21
NP_009929.1	Sbay_3.22
NP_009930.1	Sbay_3.24
NP_009931.1	Sbay_3.25
NP_009933.1	Sbay_1.79
NP_009934.1	Sbay_3.33
NP_009935.1	Sbay_3.34
NP_009936.1	Sbay_3.35
NP_009937.2	Sbay_3.37
NP_009938.2	Sbay_3.38
NP_009940.2	Sbay_3.39
NP_009941.2	Sbay_3.40
NP_009942.2	Sbay_3.42
NP_009943.2	Sbay_3.44
NP_009944.2	Sbay_3.45
NP_009946.1	Sbay_3.48
NP_009947.1	Sbay_3.49
NP_009948.1	Sbay_3.50
NP_009949.1	Sbay_3.51
NP_009950.1	Sbay_3.52
NP_009952.2	Sbay_3.53
NP_009953.1	Sbay_3.54
NP_009955.2	Sbay_3.58
NP_009956.2	Sbay_3.60
NP_009957.1	Sbay_3.61
NP_009958.2	Sbay_3.62
NP_009959.2	Sbay_3.63
NP_009960.2	Sbay_3.64
NP_009961.2	Sbay_3.66
NP_009962.2	Sbay_3.67
NP_009963.1	Sbay_3.68
NP_009964.2	Sbay_3.69
